step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,16,0,0,0,16,0,0.0,0.0,13.436222502616609,0,0.0,0.9796071113122937,0,0.0,0.9811299119436236,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9822582912632145,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9776553738696226,0,0.0,0.9784022857184071,0,0.0,0.9792711745114333,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9814679993432635,0,0.0,1.0,0,0.0
10.0,32,0,0,0,32,0,0.0,0.0,12.841339469402872,0,0.0,0.9594255677476033,0,0.0,0.9622018489529499,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8647371659167133,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9533065414236317,0,0.0,0.9572193711993588,0,0.0,0.9318952207293467,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9316912643330171,0,0.0,1.0,0,0.0
15.0,40,0,0,0,40,0,0.0,0.0,12.082592147533271,0,0.0,0.8005789071327893,0,0.0,0.9583926427020785,0,0.0,1.0,0,0.0,1.0,0,0.0,0.95713836836167,0,0.0,0.6994109654221823,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9236396545616493,0,0.0,0.9317477236806282,0,0.0,0.9641628875750407,0,0.0,0.8265641476472899,0,0.0,0.9885155167195653,0,0.0,0.9881137862996455,0,0.0,0.9604812607226042,0,0.0,0.8169404085291231,0,0.0
20.0,56,0,4,0,56,0,4.0,0.07142857142857142,11.353562002293696,1,1.0,0.8451763679180608,1,2.0,0.7086265282288048,0,0.0,1.0,0,0.0,1.0,0,0.0,0.95540043748457,0,0.0,0.9450926370835336,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7142180995496376,1,1.0,0.5697403417376649,0,0.0,0.9618219297197095,0,0.0,0.9519041754928828,0,0.0,0.9918892494528382,0,0.0,0.9916055331424383,0,0.0,0.9521482556543438,0,0.0,0.9639665518378522,4,5.0
25.0,72,0,9,0,72,0,39.0,0.5416666666666666,10.133243202301747,1,6.0,0.702963476814881,2,11.0,0.680411285267965,0,0.0,1.0,0,0.0,0.9273337540465201,0,0.0,0.9544053788695799,0,0.0,0.953565477328769,0,0.0,0.9714349730447486,0,0.0,1.0,3,10.0,0.5459412084968139,3,13.0,0.490136968156475,0,0.0,0.8593605109293323,0,0.0,0.8391703361759271,0,0.0,0.015433642751210865,0,0.0,1.0,0,0.0,0.8049091223608057,0,0.0,0.9388434400224979,9,40.0
30.0,80,0,6,0,80,0,20.0,0.25,8.980007464690676,0,2.0,0.652886605588992,0,2.0,0.7571731777331938,0,0.0,0.9520281290132186,0,0.0,0.9587752759311353,0,0.0,0.9562269539247069,0,0.0,0.802231195346591,0,0.0,0.9927134631927022,0,0.0,1.0,0,6.0,0.49133421080715906,0,10.0,0.5841837290086547,2,4.0,0.5327966876905914,1,8.0,0.4527211260493134,1,9.0,0.3076451576610646,0,4.0,0.4720810629800429,2,7.0,0.6019967168143755,0,0.0,0.9632622439516433,6,52.0
35.0,96,0,6,0,96,0,12.0,0.125,9.947726620426012,2,5.0,0.6516238039006085,2,3.0,0.5447946861343929,0,2.0,0.7462591354171899,0,0.0,0.7813248599373264,0,0.0,0.9556886920472706,2,5.0,0.6810088044175258,0,0.0,1.0,0,0.0,0.9705483307014819,0,0.0,0.8126262849467116,0,0.0,0.8364290074450477,0,5.0,0.7290605019597266,0,6.0,0.6853926975493491,0,7.0,0.7484210257603301,0,4.0,0.8651080570033773,0,3.0,0.5956538387934964,0,4.0,0.5968374497481098,6,44.0
40.0,112,0,5,0,112,0,14.0,0.125,10.808228014701005,0,3.0,0.726808533269954,0,8.0,0.5650177605766543,2,7.0,0.37862717708276633,1,2.0,0.0006900910546218978,0,0.0,0.9578801020951275,0,0.0,0.8329353175229158,0,2.0,0.41509074316412264,0,0.0,0.9786717415672392,0,4.0,0.7161415165961033,0,0.0,0.9632949107860116,0,2.0,0.9295328956220281,0,8.0,0.8948881560148851,0,7.0,0.9073484568655616,0,4.0,0.8754245160569283,2,7.0,0.6405280818130391,0,4.0,0.8766405131181303,5,58.0
45.0,120,0,4,0,120,0,12.0,0.1,10.19814671210977,1,2.0,0.6719332356349328,1,9.0,0.656839265430516,0,5.0,0.6989038381838931,0,4.0,0.623492320191791,0,4.0,0.7827993300286744,0,0.0,0.8708856583252702,0,4.0,0.8775780766472991,0,0.0,0.4062533849424724,1,8.0,0.7155901166047286,0,0.0,0.9438399792998423,0,0.0,0.6766954905028782,0,4.0,0.8216136156596197,0,3.0,0.8769683830700568,0,0.0,0.7669598241817416,1,1.0,0.6450581795287593,0,4.0,0.8646318552249235,4,48.0
50.0,136,0,12,0,136,0,31.0,0.22794117647058823,9.820894370502415,1,4.0,0.587513815882743,0,6.0,0.7650467549986772,1,3.0,0.8475988607657546,0,4.0,0.9193042891684904,0,4.0,0.8275722629200483,2,3.0,0.5514770608443185,0,4.0,0.9482586989447237,2,8.0,0.3181671562916418,0,4.0,0.7898981200067644,0,0.0,0.7911951284988578,1,8.0,0.5372105520723579,2,9.0,0.24028849879387748,1,3.0,0.3204534232973505,0,0.0,0.8584233662275548,2,10.0,0.7230262930278958,0,0.0,0.9325507375649147,12,70.0
